 ,Label,Area,Mean,Min,Max,Perim.,IntDen,RawIntDen
327,22946173.tif,358,255,255,255,70.184,91290,91290
328,22946173.tif,415,255,255,255,75.841,105825,105825
329,22946173.tif,489,255,255,255,81.841,124695,124695
330,22946173.tif,333,255,255,255,66.184,84915,84915
331,22946173.tif,366,255,255,255,72.184,93330,93330
332,22946173.tif,401,255,255,255,74.912,102255,102255
333,22946173.tif,204,255,255,255,53.113,52020,52020
334,22946173.tif,498,255,255,255,84.527,126990,126990
335,22946173.tif,416,255,255,255,75.598,106080,106080
336,22946173.tif,256,255,255,255,61.255,65280,65280
337,22946173.tif,245,255,255,255,57.941,62475,62475
338,22946173.tif,497,255,255,255,87.598,126735,126735
339,22946173.tif,367,255,255,255,71.255,93585,93585
340,22946173.tif,357,255,255,255,69.941,91035,91035
341,22946173.tif,338,255,255,255,67.355,86190,86190
342,22946173.tif,237,255,255,255,56.527,60435,60435
343,22946173.tif,447,255,255,255,77.841,113985,113985
344,22946173.tif,350,255,255,255,71.012,89250,89250
345,22946173.tif,409,255,255,255,73.012,104295,104295
346,22946173.tif,353,255,255,255,70.184,90015,90015
347,22946173.tif,289,255,255,255,65.355,73695,73695
348,22946173.tif,297,255,255,255,64.284,75735,75735
349,22946173.tif,351,255,255,255,69.355,89505,89505
350,22946173.tif,370,255,255,255,72.426,94350,94350
351,22946173.tif,289,255,255,255,62.77,73695,73695
352,22946173.tif,221,255,255,255,54.527,56355,56355
353,22946173.tif,242,255,255,255,59.698,61710,61710
354,22946173.tif,471,255,255,255,85.397,120105,120105
355,22946173.tif,202,255,255,255,55.698,51510,51510
356,22946173.tif,389,255,255,255,73.355,99195,99195
357,22946173.tif,280,255,255,255,60.527,71400,71400
358,22946173.tif,328,255,255,255,68.083,83640,83640
359,22946173.tif,314,255,255,255,64.184,80070,80070
360,22946173.tif,345,255,255,255,67.841,87975,87975
361,22946173.tif,349,255,255,255,69.841,88995,88995
362,22946173.tif,365,255,255,255,70.426,93075,93075
363,22946173.tif,328,255,255,255,66.426,83640,83640
364,22946173.tif,330,255,255,255,70.083,84150,84150
365,22946173.tif,329,255,255,255,67.598,83895,83895
366,22946173.tif,471,255,255,255,79.497,120105,120105
367,22946173.tif,219,255,255,255,53.698,55845,55845
368,22946173.tif,371,255,255,255,71.012,94605,94605
369,22946173.tif,329,255,255,255,69.012,83895,83895
370,22946173.tif,285,255,255,255,63.698,72675,72675
371,22946173.tif,215,255,255,255,55.113,54825,54825
372,22946173.tif,308,255,255,255,65.012,78540,78540
373,22946173.tif,356,255,255,255,70.184,90780,90780
374,22946173.tif,258,255,255,255,61.456,65790,65790
375,22946173.tif,196,255,255,255,54.527,49980,49980
376,22946173.tif,474,255,255,255,83.74,120870,120870
377,22946173.tif,225,255,255,255,55.698,57375,57375
378,22946173.tif,265,255,255,255,60.77,67575,67575
379,22946173.tif,340,255,255,255,66.77,86700,86700
380,22946173.tif,421,255,255,255,77.255,107355,107355
381,22946173.tif,397,255,255,255,73.841,101235,101235
382,22946173.tif,339,255,255,255,69.598,86445,86445
383,22946173.tif,397,255,255,255,73.012,101235,101235
384,22946173.tif,371,255,255,255,70.426,94605,94605
385,22946173.tif,302,255,255,255,63.941,77010,77010
386,22946173.tif,316,255,255,255,67.598,80580,80580
387,22946173.tif,205,255,255,255,53.012,52275,52275
388,22946173.tif,237,255,255,255,57.355,60435,60435
389,22946173.tif,269,255,255,255,59.941,68595,68595
390,22946173.tif,323,255,255,255,66.527,82365,82365
391,22946173.tif,336,255,255,255,66.77,85680,85680
392,22946173.tif,210,255,255,255,53.113,53550,53550
393,22946173.tif,282,255,255,255,62.184,71910,71910
394,22946173.tif,410,255,255,255,75.012,104550,104550
395,22946173.tif,294,255,255,255,64.527,74970,74970
396,22946173.tif,284,255,255,255,62.184,72420,72420
397,22946173.tif,475,255,255,255,84.569,121125,121125
398,22946173.tif,233,255,255,255,57.355,59415,59415
399,22946173.tif,281,255,255,255,61.598,71655,71655
400,22946173.tif,286,255,255,255,61.355,72930,72930
401,22946173.tif,323,255,255,255,65.355,82365,82365
402,22946173.tif,259,255,255,255,59.255,66045,66045
403,22946173.tif,240,255,255,255,56.527,61200,61200
404,22946173.tif,302,255,255,255,66.912,77010,77010
405,22946173.tif,210,255,255,255,54.284,53550,53550
406,22946173.tif,213,255,255,255,52.87,54315,54315
407,22946173.tif,311,255,255,255,65.598,79305,79305
408,22946173.tif,250,255,255,255,59.113,63750,63750
409,22946173.tif,417,255,255,255,74.669,106335,106335
410,22946173.tif,221,255,255,255,54.527,56355,56355
411,22946173.tif,310,255,255,255,66.527,79050,79050
412,22946173.tif,218,255,255,255,53.941,55590,55590
413,22946173.tif,317,255,255,255,65.012,80835,80835
414,22946173.tif,267,255,255,255,60.284,68085,68085
415,22946173.tif,280,255,255,255,65.012,71400,71400
416,22946173.tif,331,255,255,255,67.598,84405,84405
417,22946173.tif,239,255,255,255,58.184,60945,60945
418,22946173.tif,282,255,255,255,63.113,71910,71910
419,22946173.tif,396,255,255,255,74.426,100980,100980
420,22946173.tif,241,255,255,255,57.113,61455,61455
421,22946173.tif,287,255,255,255,61.941,73185,73185
422,22946173.tif,258,255,255,255,60.184,65790,65790
423,22946173.tif,280,255,255,255,60.184,71400,71400
424,22946173.tif,215,255,255,255,54.284,54825,54825
425,22946173.tif,246,255,255,255,64.527,62730,62730
426,22946173.tif,369,255,255,255,71.598,94095,94095
427,22946173.tif,323,255,255,255,65.598,82365,82365
428,22946173.tif,360,255,255,255,70.184,91800,91800
429,22946173.tif,230,255,255,255,56.87,58650,58650
430,22946173.tif,321,255,255,255,64.77,81855,81855
431,22946173.tif,398,255,255,255,74.912,101490,101490
432,22946173.tif,253,255,255,255,58.527,64515,64515
433,22946173.tif,253,255,255,255,58.77,64515,64515
434,22946173.tif,263,255,255,255,61.255,67065,67065
435,22946173.tif,380,255,255,255,71.012,96900,96900
436,22946173.tif,328,255,255,255,67.941,83640,83640
437,22946173.tif,388,255,255,255,73.012,98940,98940
438,22946173.tif,200,255,255,255,53.456,51000,51000
439,22946173.tif,278,255,255,255,63.012,70890,70890
440,22946173.tif,357,255,255,255,69.841,91035,91035
441,22946173.tif,313,255,255,255,66.527,79815,79815
442,22946173.tif,280,255,255,255,63.941,71400,71400
443,22946173.tif,258,255,255,255,58.77,65790,65790
444,22946173.tif,272,255,255,255,59.698,69360,69360
445,22946173.tif,477,255,255,255,83.841,121635,121635
446,22946173.tif,405,255,255,255,75.941,103275,103275
447,22946173.tif,259,255,255,255,60.284,66045,66045
448,22946173.tif,418,255,255,255,77.012,106590,106590
449,22946173.tif,404,255,255,255,75.841,103020,103020
450,22946173.tif,231,255,255,255,56.184,58905,58905
451,22946173.tif,280,255,255,255,64.527,71400,71400
452,22946173.tif,302,255,255,255,63.941,77010,77010
453,22946173.tif,431,255,255,255,76.184,109905,109905
454,22946173.tif,407,255,255,255,75.841,103785,103785
455,22946173.tif,303,255,255,255,64.184,77265,77265
456,22946173.tif,240,255,255,255,56.527,61200,61200
457,22946173.tif,435,255,255,255,77.598,110925,110925
458,22946173.tif,391,255,255,255,75.255,99705,99705
459,22946173.tif,452,255,255,255,80.527,115260,115260
460,22946173.tif,332,255,255,255,66.77,84660,84660
461,22946173.tif,371,255,255,255,73.456,94605,94605
462,22946173.tif,318,255,255,255,66.184,81090,81090
463,22946173.tif,280,255,255,255,61.355,71400,71400
464,22946173.tif,273,255,255,255,61.941,69615,69615
465,22946173.tif,322,255,255,255,65.698,82110,82110
466,22946173.tif,223,255,255,255,55.113,56865,56865
467,22946173.tif,217,255,255,255,55.113,55335,55335
468,22946173.tif,229,255,255,255,55.941,58395,58395
469,22946173.tif,236,255,255,255,56.284,60180,60180
470,22946173.tif,248,255,255,255,57.941,63240,63240
471,22946173.tif,372,255,255,255,71.012,94860,94860
472,22946173.tif,243,255,255,255,56.77,61965,61965
473,22946173.tif,320,255,255,255,65.012,81600,81600
474,22946173.tif,318,255,255,255,65.941,81090,81090
475,22946173.tif,435,255,255,255,78.184,110925,110925
476,22946173.tif,441,255,255,255,76.77,112455,112455
477,22946173.tif,244,255,255,255,59.355,62220,62220
478,22946173.tif,191,255,255,255,53.355,48705,48705
479,22946173.tif,313,255,255,255,67.113,79815,79815
480,22946173.tif,319,255,255,255,68.627,81345,81345
481,22946173.tif,449,255,255,255,79.255,114495,114495
482,22946173.tif,320,255,255,255,68.184,81600,81600
483,22946173.tif,246,255,255,255,57.355,62730,62730
484,22946173.tif,230,255,255,255,55.113,58650,58650
485,22946173.tif,325,255,255,255,66.527,82875,82875
486,22946173.tif,298,255,255,255,65.012,75990,75990
487,22946173.tif,237,255,255,255,57.698,60435,60435
488,22946173.tif,413,255,255,255,78.77,105315,105315
489,22946173.tif,244,255,255,255,57.113,62220,62220
490,22946173.tif,215,255,255,255,53.113,54825,54825
491,22946173.tif,319,255,255,255,66.184,81345,81345
492,22946173.tif,429,255,255,255,77.012,109395,109395
493,22946173.tif,386,255,255,255,74.426,98430,98430
494,22946173.tif,274,255,255,255,60.77,69870,69870
495,22946173.tif,242,255,255,255,58.284,61710,61710
496,22946173.tif,216,255,255,255,59.456,55080,55080
497,22946173.tif,244,255,255,255,57.355,62220,62220
498,22946173.tif,448,255,255,255,77.841,114240,114240
499,22946173.tif,311,255,255,255,64.184,79305,79305
500,22946173.tif,228,255,255,255,55.113,58140,58140
501,22946173.tif,471,255,255,255,93.598,120105,120105
502,22946173.tif,269,255,255,255,60.87,68595,68595
503,22946173.tif,227,255,255,255,54.77,57885,57885
504,22946173.tif,287,255,255,255,63.012,73185,73185
505,22946173.tif,233,255,255,255,58.284,59415,59415
506,22946173.tif,254,255,255,255,61.456,64770,64770
507,22946173.tif,271,255,255,255,62.527,69105,69105
508,22946173.tif,271,255,255,255,60.527,69105,69105
509,22946173.tif,295,255,255,255,66.184,75225,75225
510,22946173.tif,255,255,255,255,59.355,65025,65025
511,22946173.tif,384,255,255,255,72.527,97920,97920
512,22946173.tif,367,255,255,255,70.184,93585,93585
513,22946173.tif,285,255,255,255,62.426,72675,72675
514,22946173.tif,388,255,255,255,73.012,98940,98940
